"","island","cover_type","Kfs","notes","sheet","source"
"149","Hawaii","forests",503.5252976,"Young","b4820e7e-b826-4af5-848f-491b79cafd4e","Fortini_2017"
"150","Hawaii","forests",686.767362,"Young","6cf8516d-01e7-456f-9f5e-58776c16d2d8","Fortini_2017"
"151","Hawaii","forests",1336.041913,"Young","b9dc0532-cbf2-4fda-a713-0f114659bfee","Fortini_2017"
"152","Hawaii","forests",1230.001844,"Young","ae27b3fb-d6ce-4c5a-8889-dc6f6069dd8f","Fortini_2017"
"153","Hawaii","forests",621.4795338,"Young","0769f52b-ec78-4794-be0d-531aa08bed04","Fortini_2017"
"154","Hawaii","forests",600.8523393,"Young","fdf8fd6a-3ffc-4b89-9d4b-3d58776c6ef3","Fortini_2017"
"155","Hawaii","forests",500.2494914,"Young","70370ff8-9258-4abf-b0c7-08d6f3064abc","Fortini_2017"
"156","Hawaii","forests",334.6699803,"Young","90dfa0ae-f4f6-4eb6-a61b-dadff4938281","Fortini_2017"
"157","Hawaii","forests",1591.119898,"Young","a967cdae-c81d-48d1-8baf-a1e626d83dbd","Fortini_2017"
"158","Hawaii","forests",3419.230587,"Young","3654899c-a37a-4f57-898f-ad1c67cf4de3","Fortini_2017"
"159","Hawaii","forests",219.8899123,"Young","46e08b26-27a5-4920-8e8c-b2218efc3a63","Fortini_2017"
"160","Hawaii","forests",950.0209576,"Young","d0667171-5ea5-4bdd-818c-43a9813d4b2c","Fortini_2017"
"161","Hawaii","forests",449.7918603,"Young","b1556361-7356-457b-98af-e25313d9ca7d","Fortini_2017"
"162","Hawaii","forests",1166.139711,"Young","76c7c571-f619-4a29-a846-aff7f3b36daa","Fortini_2017"
"163","Hawaii","forests",242.120668,"Young","c6410d71-b00e-4af3-8f11-ad08cb2fe9e7","Fortini_2017"
"164","Hawaii","forests",1492.181082,"Young","34e5cb78-d4b3-4366-acba-67455cdad16b","Fortini_2017"
"165","Hawaii","forests",798.706142,"Young","b20502a5-8687-4150-a7af-804b6279e406","Fortini_2017"
"166","Hawaii","forests",1816.015768,"Young","8b61c6f4-a2f5-4559-9959-7afa62992419","Fortini_2017"
"167","Hawaii","forests",214.1678491,"Young","0c92e3a7-6fd5-428f-931c-d0490cb133da","Fortini_2017"
"168","Hawaii","forests",845.9803549,"Young","51c2c4c8-81a4-4a28-810a-480d9d7e80e4","Fortini_2017"
"169","Hawaii","forests",1321.735819,"Young","aa268f56-6ff6-4e77-ab92-1801ea5568f4","Fortini_2017"
"170","Hawaii","forests",4283.93871,"Young","ee85604b-eea9-4aa6-b5c2-146df46fa6b7","Fortini_2017"
"171","Hawaii","forests",344.9211579,"Young","189baf93-9a16-4f3e-9bad-c7b10b9b04f3","Fortini_2017"
"172","Hawaii","forests",343.159961,"Young","aa34bd5e-1bf0-472d-bb47-4bf91599154f","Fortini_2017"
"173","Hawaii","forests",630.8660029,"Young","39810ffb-930d-48d0-8641-a2faf12e23b2","Fortini_2017"
"174","Hawaii","forests",260.7622243,"Young","3197d8da-59b3-45ac-affe-47eae4999b96","Fortini_2017"
"175","Hawaii","forests",964.1888565,"Young","edf7025c-ceaa-4c86-87fd-53d4857b970b","Fortini_2017"
"176","Hawaii","forests",458.5113142,"Young","597ec57e-8d9a-4571-b2a2-8ea26b33953c","Fortini_2017"
"177","Hawaii","forests",667.4164198,"Young","3920803d-01ac-47e6-ac33-1c49bac13864","Fortini_2017"
"178","Hawaii","forests",432.9217177,"Young","e95a6297-9dfb-456b-b6d4-4c1c5ad48a80","Fortini_2017"
"179","Hawaii","forests",1616.148495,"Young","bdc31bad-e5a8-47e5-91e6-da7026d16f38","Fortini_2017"
"180","Hawaii","forests",1160.079128,"Young","1c43398b-bcd2-4118-87a5-705715901caa","Fortini_2017"
"181","Hawaii","forests",535.6971181,"Young","5daf8514-33fd-4262-9391-59faa5503cb0","Fortini_2017"
"182","Hawaii","forests",1201.430836,"Young","15dfe428-1561-4e91-9182-ce9cdd568bb1","Fortini_2017"
"183","Hawaii","forests",439.5974863,"Young","d916ec4b-f617-43a0-8583-ef91088e6845","Fortini_2017"
"184","Hawaii","forests",329.8080763,"Young","105a8785-4b54-4f9d-ada1-26c1573095cc","Fortini_2017"
"185","Hawaii","forests",575.1764589,"Young","ea3e2e86-58ad-44a9-9881-cef9f0f6b94d","Fortini_2017"
"186","Hawaii","forests",351.8451824,"Young","11bd6b03-67a4-46f6-b3e4-47517b44046a","Fortini_2017"
"187","Hawaii","forests",450.4498895,"Young","f71e15cc-1b12-44dc-9927-6fd738f82909","Fortini_2017"
"188","Hawaii","forests",172.5773563,"Young","c79ea0e3-4904-4985-9940-931c219a70d7","Fortini_2017"
"189","Hawaii","forests",8.533662306,"Young","25485912-a8b6-4092-87e6-0052faacdfb4","Fortini_2017"
"190","Hawaii","forests",409.577306,"Young","27488d19-f1cd-4ef8-9e8f-d56bc38bd51f","Fortini_2017"
"191","Hawaii","forests",283.5373533,"Young","208813ba-d873-4ee0-b528-a9f44f197c81","Fortini_2017"
"192","Hawaii","forests",649.9734038,"Young","09e01ecf-e63b-426e-a5ef-3a7029f57b97","Fortini_2017"
"193","Hawaii","forests",91.95112333,"Young","be57f4aa-d039-49bd-a281-14c1a9652c16","Fortini_2017"
"194","Hawaii","forests",31.94934333,"Young","dff8b125-afd3-4e4a-be26-0bf37196754b","Fortini_2017"
"195","Hawaii","forests",438.7048585,"Young","2a5b35db-ac42-4db4-8071-1987fd13629d","Fortini_2017"
"196","Hawaii","forests",156.4905813,"Young","20b7065f-fb9f-4d94-a829-621be500460a","Fortini_2017"
"197","Hawaii","forests",206.7860438,"Young","61831603-8df7-45c1-98cf-99da5ac4dcad","Fortini_2017"
"198","Hawaii","forests",151.8545005,"Young","a44a7307-29f7-4652-be7c-cce1ca5a1bc9","Fortini_2017"
"199","Hawaii","forests",333.5230575,"Young","35dcf0ef-a599-4154-80a5-676e7f5202d7","Fortini_2017"
"200","Hawaii","forests",135.1767664,"Young","cb91889e-7834-4dc2-9df8-a72359443aa3","Fortini_2017"
"201","Hawaii","forests",229.8937455,"Young","54130dbd-abc4-46e0-a2da-811a755a1b6e","Fortini_2017"
"202","Hawaii","forests",62.19917526,"Young","0657fabd-23ef-4bfe-a38f-8fdb3cfc3a77","Fortini_2017"
"203","Hawaii","forests",160.03811,"Young","afc4c14c-bfb3-4840-921f-7caf6df0b29e","Fortini_2017"
"204","Hawaii","forests",286.2315731,"Young","b57141e5-388b-4cc4-86d4-16aacbbcfb37","Fortini_2017"
"205","Hawaii","forests",111.0857913,"Young","e9a639ef-70a5-45ad-8021-65b0f4be83ea","Fortini_2017"
"206","Hawaii","forests",178.3160215,"Young","eec8a4b2-35bb-4472-af57-cca544e7d7f3","Fortini_2017"
"207","Hawaii","forests",234.13737,"Young","6fa70115-fff0-419b-a391-3ace13094373","Fortini_2017"
"208","Hawaii","forests",528.0069756,"Young","89a43904-c410-4bf6-8d81-62b657b84746","Fortini_2017"
"209","Hawaii","forests",66.76252243,"Young","d9e1dbfb-11f8-4d4f-973e-98abedc07242","Fortini_2017"
"210","Hawaii","forests",552.8986333,"Young","f2e8d58d-0411-453f-a3fd-d0f56d04516b","Fortini_2017"
"211","Hawaii","forests",131.8135684,"Young","8b915a43-a143-4c64-9de1-a453e042db13","Fortini_2017"
"212","Hawaii","forests",232.330195,"Young","9fa328a7-34ac-458f-b72f-79f451e00cf5","Fortini_2017"
"213","Hawaii","forests",683.6048057,"Young","97a12d1e-519d-47c5-8708-f473e3e39e83","Fortini_2017"
"214","Hawaii","forests",262.6843285,"Young","7e1dd1c1-5c74-439b-a6c7-5b378034197d","Fortini_2017"
"215","Hawaii","forests",321.7637619,"Young","a6d9e2a0-a18e-48b3-b43d-3939c062b2f4","Fortini_2017"
"216","Hawaii","forests",198.586858,"Young","bf054ecb-a068-4e63-95c3-d7fdb22af58c","Fortini_2017"
"217","Hawaii","forests",487.0540778,"Young","0e08365c-9d0a-43cc-b04a-9cffb5b900fa","Fortini_2017"
"218","Hawaii","forests",165.188703,"Young","1e0988ff-b885-4568-a216-d5994378e526","Fortini_2017"
"219","Hawaii","forests",7.641900775,"Young","1a23550e-5735-4f2e-84ee-21170c67c726","Fortini_2017"
"220","Hawaii","forests",711.7600829,"Young","e62ea313-621d-4c96-8056-31bc98dbe4b8","Fortini_2017"
"221","Hawaii","forests",287.642776,"Young","5a6c180a-839c-49dc-a625-f7c38ae7fc43","Fortini_2017"
"222","Hawaii","forests",43.49862939,"Medium","17d6a407-3438-468f-81ce-db004f7e9dff","Fortini_2017"
"223","Hawaii","forests",2410.384314,"Medium","97feeb8e-a59d-4a8e-886e-1bd03415fd98","Fortini_2017"
"224","Hawaii","forests",112.9634046,"Medium","0c7c627d-6ae5-4a97-b1b5-ed524888a852","Fortini_2017"
"225","Hawaii","forests",156.5685886,"Medium","a4da7a91-1134-4dcb-b391-9acd48a3bc86","Fortini_2017"
"226","Hawaii","forests",220.3985529,"Medium","4f5dac71-c9e7-4676-a5b1-dea7aa9f3b35","Fortini_2017"
"227","Hawaii","forests",763.3262541,"Medium","29c49f94-0900-4864-b1bd-000f99842526","Fortini_2017"
"228","Hawaii","forests",38.4329103,"Medium","88669d53-bae4-4ed1-b91e-33c4a24a1dc5","Fortini_2017"
"229","Hawaii","forests",207.3160821,"Medium","d2c1e35e-6f32-4f97-ac19-4b8fccd12505","Fortini_2017"
"230","Hawaii","forests",19.3096425,"Medium","1fe240b1-7459-4132-ba9f-5cceaa9fe2f9","Fortini_2017"
"231","Hawaii","forests",181.5247205,"Medium","f57189c0-a088-4fcd-9ee0-3f738c50bdba","Fortini_2017"
"232","Hawaii","forests",91.23103038,"Medium","97bd022c-be9d-4d92-87d9-b8cea034c361","Fortini_2017"
"233","Hawaii","forests",2399.794831,"Medium","2151f437-e0d1-43f3-9d8b-95de36839acd","Fortini_2017"
"234","Hawaii","forests",291.0376722,"Medium","36510eb3-27fa-4aa1-b122-d1e782424651","Fortini_2017"
"235","Hawaii","forests",452.7677441,"Medium","19f7a3f3-4570-4df7-bdbd-2627cb2644cc","Fortini_2017"
"236","Hawaii","forests",106.4627323,"Medium","1439cbad-b69d-4f26-939e-0fa1fbe3a62b","Fortini_2017"
"237","Hawaii","forests",267.4820119,"Medium","74db9d2f-f36c-4de1-a5f8-863246ebe6f0","Fortini_2017"
"238","Hawaii","forests",2664.387841,"Medium","95b95b3b-1124-4ed8-8c8d-c23484df18b5","Fortini_2017"
"239","Hawaii","forests",203.1164663,"Young","99963589-bfff-4b84-91d8-383803ccb22b","Fortini_2017"
"240","Hawaii","forests",1.187571742,"Young","62152248-7828-41f6-a2df-4c7a80e56bcd","Fortini_2017"
"241","Hawaii","forests",23.52669298,"Young","88d28f1b-2cb4-4b60-afc4-5047f9047a77","Fortini_2017"
"242","Hawaii","forests",44.44793121,"Young","c39403e1-8e4f-43d2-a498-f062d066ca7c","Fortini_2017"
